,TransactionNo,custCat,1005,1015,1016,1017,1032,1033,1034,1039,1042,1047,1050,1051,1052,1078,1080,40000,40006,1000,1014,1001
0,1,SuddenTrip,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0
1,2,BusinessRelatedTrip,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
2,3,BusinessRelatedTrip,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0
3,4,SuddenTrip,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0
4,5,PlannedTrip,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1
5,6,PlannedTrip,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1
6,7,PlannedTrip,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0
7,8,PlannedTrip,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1
8,9,BusinessRelatedTrip,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1
9,10,SuddenTrip,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1
10,11,SuddenTrip,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0
11,12,PlannedTrip,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0
12,13,BusinessRelatedTrip,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0
13,14,PlannedTrip,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0
14,15,PlannedTrip,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0
15,16,PlannedTrip,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0
16,17,SuddenTrip,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1
17,18,PlannedTrip,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0
18,19,BusinessRelatedTrip,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
19,20,BusinessRelatedTrip,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0
20,21,PlannedTrip,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1
21,22,PlannedTrip,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1
22,23,PlannedTrip,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1
23,24,SuddenTrip,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0
24,25,PlannedTrip,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0
25,26,PlannedTrip,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0
26,27,BusinessRelatedTrip,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0
27,28,PlannedTrip,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0
28,29,PlannedTrip,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0
29,30,BusinessRelatedTrip,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1
30,31,PlannedTrip,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0
31,32,PlannedTrip,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0
32,33,BusinessRelatedTrip,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0
33,34,PlannedTrip,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0
34,35,BusinessRelatedTrip,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1
35,36,PlannedTrip,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0
36,37,SuddenTrip,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1
37,38,PlannedTrip,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1
38,39,BusinessRelatedTrip,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0
39,40,PlannedTrip,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
40,41,SuddenTrip,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0
41,42,PlannedTrip,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1
42,43,BusinessRelatedTrip,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0
43,44,SuddenTrip,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0
44,45,PlannedTrip,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1
45,46,PlannedTrip,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0
46,47,PlannedTrip,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0
47,48,PlannedTrip,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0
48,49,SuddenTrip,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0
49,50,PlannedTrip,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
50,51,PlannedTrip,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0
51,52,PlannedTrip,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0
52,53,SuddenTrip,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0
53,54,PlannedTrip,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0
54,55,SuddenTrip,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0
55,56,PlannedTrip,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0
56,57,BusinessRelatedTrip,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1
57,58,PlannedTrip,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0
58,59,PlannedTrip,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0
59,60,SuddenTrip,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1
60,61,BusinessRelatedTrip,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1
61,62,SuddenTrip,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0
62,63,BusinessRelatedTrip,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1
63,64,SuddenTrip,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1
64,65,SuddenTrip,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1
65,66,PlannedTrip,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0
66,67,PlannedTrip,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
67,68,PlannedTrip,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1
68,69,PlannedTrip,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1
69,70,BusinessRelatedTrip,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1
70,71,PlannedTrip,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1
71,72,SuddenTrip,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1
72,73,BusinessRelatedTrip,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1
73,74,PlannedTrip,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0
74,75,SuddenTrip,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0
75,76,PlannedTrip,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0
76,77,BusinessRelatedTrip,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0
77,78,PlannedTrip,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0
78,79,PlannedTrip,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0
79,80,BusinessRelatedTrip,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1
80,81,PlannedTrip,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0
81,82,PlannedTrip,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0
82,83,SuddenTrip,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1
